Zone;Species;Item;d15N;d13C
Baffin Bay;O.bidentata;Sediment;8.55;-20.99
Baffin Bay;O.bidentata;Sediment;7.83;-21.05
Baffin Bay;O.bidentata;Sediment;7.92;-21.5
Baffin Bay;O.bidentata;Sediment;6.04;-22.77
Baffin Bay;O.bidentata;O.bidentata;14.02;-19.7
Baffin Bay;O.bidentata;O.bidentata;13.74;-19.68
Baffin Bay;O.bidentata;O.bidentata;14.12;-19.09
Baffin Bay;O.bidentata;O.bidentata;15.15;-19.58
Baffin Bay;O.bidentata;O.bidentata;13.71;-19.31
Baffin Bay;O.bidentata;O.bidentata;12.75;-18.72
Baffin Bay;O.sericeum;Sediment;8.55;-20.99
Baffin Bay;O.sericeum;Sediment;7.83;-21.05
Baffin Bay;O.sericeum;Sediment;7.92;-21.5
Baffin Bay;O.sericeum;Sediment;6.04;-22.77
Baffin Bay;O.sericeum;O.sericeum;11.91;-21.26
Baffin Bay;O.sericeum;O.sericeum;13.52;-20.38
Baffin Bay;O.sericeum;O.sericeum;14.28;-19.79
Baffin Bay;O.sericeum;O.sericeum;12.62;-20.7
Baffin Bay;O.sericeum;O.sericeum;11.78;-20.71
Baffin Bay;O.sericeum;O.sericeum;12.17;-20.08
Baffin Bay;O.borealis ;Sediment;8.55;-20.99
Baffin Bay;O.borealis ;Sediment;7.83;-21.05
Baffin Bay;O.borealis ;Sediment;7.92;-21.5
Baffin Bay;O.borealis ;Sediment;6.04;-22.77
Baffin Bay;O.borealis ;O.borealis ;12.17;-20.44
Baffin Bay;O.borealis ;O.borealis ;12.59;-19.66
Baffin Bay;O.borealis ;O.borealis ;11.95;-20.81
Baffin Bay;O.borealis ;O.borealis ;12.6;-20.39
Baffin Bay;O.borealis ;O.borealis ;13.2;-20.77
Baffin Bay;O.borealis ;O.borealis ;12.59;-20.42
Baffin Bay;O.borealis ;O.borealis ;12.39;-19.87
Baffin Bay;O.borealis ;O.borealis ;12.44;-19.93
Baffin Bay;O.borealis ;O.borealis ;12.63;-20.45
Baffin Bay;O.borealis ;O.borealis ;13.06;-21.36
Canadian Arctic Archipelago;O.bidentata;Sediment;7.34;-16.51
Canadian Arctic Archipelago;O.bidentata;Sediment;6.69;-22.85
Canadian Arctic Archipelago;O.bidentata;Sediment;6.24;-22.67
Canadian Arctic Archipelago;O.bidentata;Sediment;6.04;-23.85
Canadian Arctic Archipelago;O.bidentata;Sediment;7.88;-23.03
Canadian Arctic Archipelago;O.bidentata;Sediment;7.02;-23.16
Canadian Arctic Archipelago;O.bidentata;O.bidentata;14.73;-19.42
Canadian Arctic Archipelago;O.bidentata;O.bidentata;14.35;-19.38
Canadian Arctic Archipelago;O.bidentata;O.bidentata;14.4;-18.69
Canadian Arctic Archipelago;O.bidentata;O.bidentata;14.6;-18.74
Canadian Arctic Archipelago;O.bidentata;O.bidentata;13.94;-19.04
Canadian Arctic Archipelago;O.bidentata;O.bidentata;15.1;-18.54
Canadian Arctic Archipelago;O.sericeum;Sediment;7.34;-16.51
Canadian Arctic Archipelago;O.sericeum;Sediment;6.69;-22.85
Canadian Arctic Archipelago;O.sericeum;Sediment;6.24;-22.67
Canadian Arctic Archipelago;O.sericeum;Sediment;6.04;-23.85
Canadian Arctic Archipelago;O.sericeum;Sediment;7.88;-23.03
Canadian Arctic Archipelago;O.sericeum;Sediment;7.02;-23.16
Canadian Arctic Archipelago;O.sericeum;O.sericeum;11.55;-20.33
Canadian Arctic Archipelago;O.sericeum;O.sericeum;11.48;-19.57
Canadian Arctic Archipelago;O.sericeum;O.sericeum;11.29;-19.79
Canadian Arctic Archipelago;O.sericeum;O.sericeum;11.2;-20.35
Canadian Arctic Archipelago;O.sericeum;O.sericeum;11.51;-20.09
Canadian Arctic Archipelago;O.sericeum;O.sericeum;10.21;-20.41
Canadian Arctic Archipelago;O.sericeum;O.sericeum;10.05;-20.93
Canadian Arctic Archipelago;O.sericeum;O.sericeum;10.25;-20.46
Canadian Arctic Archipelago;O.sericeum;O.sericeum;10.25;-24.35
Canadian Arctic Archipelago;O.sericeum;O.sericeum;10.24;-24.22
Canadian Arctic Archipelago;O.sericeum;O.sericeum;10.26;-24.35
Canadian Arctic Archipelago;O.sericeum;O.sericeum;10.23;-24.85
Canadian Arctic Archipelago;O.sericeum;O.sericeum;10.08;-24.7
Canadian Arctic Archipelago;O.sericeum;O.sericeum;10.2;-24.43
Canadian Arctic Archipelago;O.borealis ;Sediment;7.34;-16.51
Canadian Arctic Archipelago;O.borealis ;Sediment;6.69;-22.85
Canadian Arctic Archipelago;O.borealis ;Sediment;6.24;-22.67
Canadian Arctic Archipelago;O.borealis ;Sediment;6.04;-23.85
Canadian Arctic Archipelago;O.borealis ;Sediment;7.88;-23.03
Canadian Arctic Archipelago;O.borealis ;Sediment;7.02;-23.16
Canadian Arctic Archipelago;O.borealis ;O.borealis ;14.42;-23.54
Canadian Arctic Archipelago;O.borealis ;O.borealis ;14.97;-23.61
Canadian Arctic Archipelago;O.borealis ;O.borealis ;14.27;-23.64
Canadian Arctic Archipelago;O.borealis ;O.borealis ;13.06;-24.13
Canadian Arctic Archipelago;O.borealis ;O.borealis ;14.59;-23.94
Canadian Arctic Archipelago;O.borealis ;O.borealis ;13.94;-23.85
Canadian Arctic Archipelago;O.borealis ;O.borealis ;12.51;-24.01
Canadian Arctic Archipelago;O.borealis ;O.borealis ;12.31;-24.03
Canadian Arctic Archipelago;O.borealis ;O.borealis ;13.46;-23.88
Canadian Arctic Archipelago;O.borealis ;O.borealis ;14.33;-23.32
Canadian Arctic Archipelago;O.borealis ;O.borealis ;14.95;-23.38
Canadian Arctic Archipelago;O.borealis ;O.borealis ;14.01;-23.7
Canadian Arctic Archipelago;O.borealis ;O.borealis ;14.17;-23.35
Canadian Arctic Archipelago;O.borealis ;O.borealis ;13.25;-23.81
North Water Polynia;O.bidentata;Sediment;5.65;-22.81
North Water Polynia;O.bidentata;Sediment;5.93;-22.34
North Water Polynia;O.bidentata;Sediment;5.49;-22.41
North Water Polynia;O.bidentata;Sediment;5.39;-22.18
North Water Polynia;O.bidentata;O.bidentata;14.08;-18.48
North Water Polynia;O.bidentata;O.bidentata;13.96;-18.51
North Water Polynia;O.bidentata;O.bidentata;13.29;-19.19
North Water Polynia;O.bidentata;O.bidentata;13.75;-18.9
North Water Polynia;O.bidentata;O.bidentata;12.98;-18.88
North Water Polynia;O.bidentata;O.bidentata;12.27;-18.48
North Water Polynia;O.bidentata;O.bidentata;12.81;-18.84
North Water Polynia;O.bidentata;O.bidentata;13.2;-18.26
North Water Polynia;O.bidentata;O.bidentata;12.84;-23.36
North Water Polynia;O.bidentata;O.bidentata;12.23;-18.25
North Water Polynia;O.sericeum;Sediment;5.65;-22.81
North Water Polynia;O.sericeum;Sediment;5.93;-22.34
North Water Polynia;O.sericeum;Sediment;5.49;-22.41
North Water Polynia;O.sericeum;Sediment;5.39;-22.18
North Water Polynia;O.sericeum;O.sericeum;10.5;-20.6
North Water Polynia;O.sericeum;O.sericeum;10.91;-20.85
North Water Polynia;O.sericeum;O.sericeum;11.68;-20.4
North Water Polynia;O.sericeum;O.sericeum;11.86;-20.33
North Water Polynia;O.sericeum;O.sericeum;12.47;-19.52
North Water Polynia;O.sericeum;O.sericeum;12.89;-19.63
North Water Polynia;O.sericeum;O.sericeum;11.23;-20.37
North Water Polynia;O.sericeum;O.sericeum;11.67;-20.02
North Water Polynia;O.sericeum;O.sericeum;12.24;-19.95
North Water Polynia;O.sericeum;O.sericeum;10.61;-20.25
North Water Polynia;O.sericeum;O.sericeum;14.65;-19.63
North Water Polynia;O.sericeum;O.sericeum;14.52;-19.34
North Water Polynia;O.sericeum;O.sericeum;14.56;-19.52
North Water Polynia;O.sericeum;O.sericeum;11.09;-20.37
North Water Polynia;O.sericeum;O.sericeum;14.26;-19.74
North Water Polynia;O.sericeum;O.sericeum;13.71;-19.78
North Water Polynia;O.sericeum;O.sericeum;13.56;-20.21
North Water Polynia;O.borealis ;Sediment;5.65;-22.81
North Water Polynia;O.borealis ;Sediment;5.93;-22.34
North Water Polynia;O.borealis ;Sediment;5.49;-22.41
North Water Polynia;O.borealis ;Sediment;5.39;-22.18
North Water Polynia;O.borealis ;O.borealis ;13.74;-19.87
North Water Polynia;O.borealis ;O.borealis ;12.85;-20.39
North Water Polynia;O.borealis ;O.borealis ;13.77;-19.76
North Water Polynia;O.borealis ;O.borealis ;14.08;-19.61
North Water Polynia;O.borealis ;O.borealis ;11.34;-19.77
North Water Polynia;O.borealis ;O.borealis ;12.17;-20.22
North Water Polynia;O.borealis ;O.borealis ;12.74;-20.2
North Water Polynia;O.borealis ;O.borealis ;11.18;-20.26
North Water Polynia;O.borealis ;O.borealis ;11.21;-19.64
